Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,
1615,1614,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/23/2020
1616,1615,Agra,Khairagarh,Potato,Desi,FAQ,800,900,850,2/22/2020
1617,1616,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/21/2020
1618,1617,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2/20/2020
1619,1618,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/19/2020
1620,1619,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/18/2020
1621,1620,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/16/2020
1622,1621,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/14/2020
1623,1622,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/13/2020
1624,1623,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/12/2020
1625,1624,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/11/2020
1626,1625,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/10/2020
1627,1626,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/9/2020
1628,1627,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/8/2020
1629,1628,Agra,Khairagarh,Potato,Desi,FAQ,850,950,900,2/7/2020
1630,1629,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/5/2020
1631,1630,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,2/4/2020
1632,1631,Agra,Khairagarh,Potato,Desi,FAQ,850,950,900,2/3/2020
1633,1632,Agra,Khairagarh,Potato,Desi,FAQ,850,950,900,1/31/2020
1634,1633,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,1/30/2020
1635,1634,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,1/29/2020
1636,1635,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,1/28/2020
1637,1636,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,1/27/2020
1638,1637,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/25/2020
1639,1638,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/24/2020
1640,1639,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/23/2020
1641,1640,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/22/2020
1642,1641,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/21/2020
1643,1642,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/20/2020
1644,1643,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/18/2020
1645,1644,Agra,Khairagarh,Potato,Desi,FAQ,950,1050,1000,1/17/2020
1646,1645,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/16/2020
1647,1646,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/15/2020
1648,1647,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/13/2020
1649,1648,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/12/2020
1650,1649,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/11/2020
1651,1650,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/10/2020
1652,1651,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/9/2020
1653,1652,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/8/2020
1654,1653,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,1/7/2020
1655,1654,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,1/6/2020
1656,1655,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,1/5/2020
1657,1656,Agra,Khairagarh,Potato,Desi,FAQ,1000,1200,1100,1/4/2020
1658,1657,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,1/3/2020
1659,1658,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,1/2/2020
1660,1659,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,1/1/2020
1661,1660,Agra,Samsabad,Potato,Local,FAQ,2700,2800,2750,10/31/2020
1662,1661,Agra,Samsabad,Potato,Local,FAQ,1950,2050,2000,8/28/2020
1663,1662,Agra,Samsabad,Potato,Local,FAQ,1400,1600,1500,7/7/2020
1664,1663,Agra,Samsabad,Potato,Local,FAQ,1300,1500,1400,7/6/2020
1665,1664,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,7/5/2020
1666,1665,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,7/4/2020
1667,1666,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,7/3/2020
1668,1667,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,7/1/2020
1669,1668,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,6/30/2020
1670,1669,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,6/29/2020
1671,1670,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,6/28/2020
1672,1671,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,6/27/2020
